term,definition,category,example,see_also
Inflation,General rise in prices; reduces purchasing power.,inflation,5% inflation means basket costs 5% more next year,Real Return
Real Return,Return after subtracting inflation.,inflation,10% nominal - 6% inflation ≈ 4% real,Inflation
Risk-Free Rate,"Return from safest assets (e.g., treasury bills).",risk_and_return,Used in Sharpe calculations,Sharpe Ratio
Interest Rate,Cost of borrowing/reward for saving; affects bonds and valuations.,interest_rates,Rising rates can pressure bond prices,Yield
Stop Loss,Order to sell if price falls to limit loss.,trading,Sell if price falls below ₹X,Risk Management
Risk Management,Rules to control losses and uncertainty.,risk_and_return,Diversify + position sizing,Stop Loss
Time Horizon,How long you can stay invested before needing money.,goal_planning,Longer horizon allows more equity,Risk Tolerance
Risk Tolerance,How much volatility you can handle emotionally/financially.,goal_planning,Low tolerance prefers stable assets,Time Horizon
Emergency Fund,Cash for unexpected expenses (3–6 months).,portfolio_management,Keep 3–6 months expenses liquid,Liquidity
Asset Class,"Group of similar investments (equity, debt, cash).",market_basics,Equity vs debt vs cash,Asset Allocation
Capital Gains,Profit from selling above purchase price.,taxes,"Buy ₹100, sell ₹150 → ₹50 gain",STCG; LTCG
STCG,Short-term capital gains category (rules vary).,taxes,Selling within short window,LTCG
LTCG,Long-term capital gains category (rules vary).,taxes,Holding beyond threshold,STCG
Tax-Loss Harvesting,Selling at a loss to offset gains for tax.,taxes,Reduce taxable gains by harvesting losses,Capital Gains
Indexation,Tax concept adjusting cost for inflation (varies).,taxes,Inflation adjustment can reduce taxable gain,Inflation
Concentration Risk,Too much exposure to one asset/sector.,portfolio_management,70% in one stock = high risk,Diversification
Sector Exposure,Share of portfolio in sectors like IT/Banking.,portfolio_management,Overweight IT sector,Concentration Risk
Currency Risk,Risk from exchange rate changes for foreign assets.,risk_and_return,USD/INR impacts US returns in INR,Hedging
Hedging,Reducing risk with an offsetting position.,risk_and_return,Use currency-hedged funds,Currency Risk
Scenario Analysis,Compare outcomes under multiple assumptions.,goal_planning,8% vs 10% vs 12% return cases,Sensitivity Analysis
Sensitivity Analysis,How output changes when assumptions change.,goal_planning,SIP changes if inflation rises,Scenario Analysis
Tracking Error,How closely an index fund follows its index.,etfs,Lower tracking error is better,Index Fund
Tracking Difference,Actual return difference between fund and index.,etfs,Expense ratio + drag cause difference,Tracking Error
Active vs Passive,Active tries to beat market; passive tracks an index.,mutual_funds,Index funds are passive,Index Fund
Risk Premium,Extra return for taking risk vs risk-free asset.,risk_and_return,Equity premium over T-bills,Risk-Free Rate
Yield Curve,Yields across maturities; shape conveys expectations.,bonds,Inverted curve can signal slowdown,Duration
Credit Risk,Risk issuer may not pay interest/principal.,bonds,Corporate bonds have more credit risk,Credit Rating
Credit Rating,Score of issuer’s creditworthiness (AAA..).,bonds,Lower rating = higher default risk,Credit Risk
Laddering,Buying bonds with staggered maturities.,bonds,Invest in 1y/3y/5y bonds,Duration
MMR,Max Marginal Relevance: retrieval method to reduce duplicates.,rag,Improves diversity of retrieved chunks,Vector Search
Vector Search,Semantic search using embeddings.,rag,Retrieve meaning-similar notes,Embeddings
Embeddings,Numeric representation of text meaning.,rag,Used for vector similarity search,Vector Search
